,comments
348,@涼子同学 这道菜应该加点苕皮
349,合影
350,现在是幻想时间
351,*前方截图高发地带*
352,[惊喜][支持]​
353,现在是……
354,合影
355,万恶之源
356,(> ロ <）و✧
357,现在是，幻想时间
358,合影
359,合影
360,合影
361,合影
362,合影!
363,合影!
364,现在是 幻想时间
365,睇落去真系好好食
366,《现在是，幻想时间》
367,世界名画
368,合影
369,说藏话了
370,1！2！
371,合影
372,合影
373,就听懂了这一句
374,美军要来攻打了
375,Sp
376,薪火相传
377,申鹤
378,名场面
379,经典合影
380,最喜欢的一集
381,合影
382,世界名画
383,合影 名场面
384,可莉
385,合影
386,合影
387,合影
388,现在是，幻想时间
389,太乐了
390,世界名画
391,要米家的修给
392,传世经典
393,传世经典
394,合影
395,你再骂？
396,贴吧名表情
397,合影
398,合影
399,合影
400,你知道我要说什么
401,经典
402,合影
403,看饿了
404,合影
405,合影
406,没有那么多油可以滚着炸
407,你知道我要说什么的
408,世界名画
409,合影
410,知道为什么没人做了
411,合影
412,夜————兰
413,好靓
414,1！2！
415,这桶油要好几百
416,想吃
417,你知道我要说什么
418,合影！
419,合影！
420,玻璃鸡皮一样
421,表情包
422,合影！！！！
423,凛——夜——！！！！！！！
424,合影
425,吊鸡啊！
426,[嗷呜][大拇指]
427,现在是幻想时间
428,现在是
429,合影
430,合影
431,哈哈哈
432,贴吧名场面，合影！！
433,贴吧名表情包
434,合影
435,[前方高能]
436,现在是…幻想时间
437,合影
438,合影
439,要来了
440,典
441,合影
442,哈哈哈笑死
443,合影
444,绝了
445,要 来 力
446,合影
447,妈耶
448,合影
449,哈哈哈哈哈哈
450,圣地巡礼
451,@凉子同学
452,雷电将军
453,贴吧表情包出现了哈哈哈
454,无插啫皮喔！
455,笑麻了
456,了
457,合影
458,现在是，幻想时间.jpg
459,合影
460,经典再现
461,笑死了
462,劝退，买不起这么多油
463,合影
464,世界名画
465,浸鸡的巨人
466,要来力
467,合影传世经典
468,合影！
469,这么多油，家庭厨师表示学不了了呜呜
470,咩叫起风了纯音乐，人地原版无名叫啊
471,传世经典
472,名场面
473,合影
474,@涼子同学 
475,@涼子同学
476,合影
477,合影
478,1，2
479,贴吧名场面
480,合影
481,合影
482,合影
483,合影
484,小的时候吃过一次，现在还能记得，脆皮鸡加上南乳柱候酱的味道确实很香
485,名画预订
486,合影！
487,level
488,经典
489,经典永流传
490,合影
491,合影
492,时间名画
493,来力来力
494,鸡是个好鸡
495,暂停成功
496,合影
497,经典永流传
498,合影
499,合影
500,合影
501,世界名画
502,你知道我要说什么
503,哈哈哈哈哈
504,名场面
505,合影
506,入典合影
507,名场面
508,十个，甚至九个level
509,烧！！！
510,准备起立
511,难怪抢着吃，确实爽
512,合影
513,世界名画
514,看的饿了
515,这么大一锅油，家里做成本太高了
516,弔图出处
517,12
518,世界名画
519,合影
520,名场面
521,圣经！
522,前方截图
523,要来力
524,油费太贵
525,合影
526,名场面
527,原油
528,最喜欢的一集
529,经典 永 流 传
530,oc
531,茗场面
532,合影
533,1，2！
534,世界名画
535,在这停顿
536,合影
537,合影
538,1！2！
539,合影
540,哈哈哈哈h
541,合影！
542,名场面
543,我出500买一只！
544,新头像又来了
545,烧！！！
546,合影
547,关利口福屁事
548,可爱喵
549,合影
550,哈哈哈哈
551,合影
552,贴吧来的
553,贴吧领袖
554,合影
555,厚礼蟹
556,要来力
557,名场面
558,名场面合影
559,名场面合影
560,贴吧名画
561,好靓的鸡，很多油
562,名场面
563,柱侯酱是清代厨师梁柱侯发明的，不是甜面酱
564,合影
565,饿了
566,准备，3，2，1，入典合影！
567,你知道我要说什么
568,合影
569,感谢，没有失传，家楼下有的吃
570,全是经典
571,名场面
572,在哪啊？
573,烧
574,合影
575,烧
576,烧
577,经典jpg
578,名场面
579,打卡此帧
580,贴吧弔图
581,烧
582,@涼子同学
583,贴吧截图+1
584,12
585,合影
586,合影
587,合影
588,表情包
589,甜甜花酿申鹤，满意了？
590,世 界 名 画
591,无鸡不成宴
592,合影
593,1！2
594,1！2！
595,哈哈
596,圣地巡礼
597,前方名场面
598,前方高能预警
599,太烧辣
600,烧！
601,你知道我要说什么
602,1！2！
603,他是不是骂了句“死蠢”
604,合影
605,要来力！！！！！
606,要来力！！！！！！
607,夜阑
608,合影
609,世界名画
610,合影
611,合影
612,名场面
613,jbcshj
614,S级女武神
615,12
616,说好的甜品呢
617,确实没有了
618,你干嘛哈哈诶哟
619,op
620,哇(ﾉﾟ▽ﾟ)ﾉ
621,你干嘛
622,你知道我要说什么
623,哈哈哈哈哈哈哈哈哈哈哈哈
624,合影
625,你知道我要说什么
626,合影
627,showshowway
628,合影
629,截图
630,合影
631,你干嘛~哈哈～哎呦
632,合影
633,1/2
634,被骂了呜呜呜
635,;
636,合影
637,合影
638,小黑子荔枝
639,你干嘛。哎呦
640,我！
641,《妈见打油量》
642,你干嘛～哎哟～
643,12
644,冇以为我听唔出
645,贴吧表情加一
646,炸鸡100小时
647,刚刚那个词是蠢
648,啊啊啊
649,广西人听懂了
650,看够了，去收藏夹吃灰去吧
651,等我有钱了一定要买一个能闻到味道的手机
652,他在试图教会我们【doge】
653,我们这20多年的酒楼都没卖了
654,白天刷不到
655,hhhhh
656,他真的我哭了
657,我只是来学粤语的
658,原来是您
659,ji？？我从开头到现在一直以为是鸭…
660,哈哈哈
661,瓜老板？
662,你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
663,你干嘛～哈哈～哎哟
664, 哈哈哈基干民兵
665,要饭来啦！（幻听）
666,金色传说
667,很有食欲
668,贴吧预定
669,@记录生活的蛋黄派
670,你知道我要说什么
671,烧！
672,哈哈哈，广东人笑死
673,你干嘛～哈哈，哟～
674,你干嘛
675,哎呦 你干嘛
676,这个针哪里买？
677,该。
678,你干嘛～哈哈哎哟
679,真油啊
680,1！2！
681,合影！
682,1！2！
683,合影
684,哈哈哈，好可爱
685,感觉好好吃
686,你再骂！
687,小黑子，露出鸡脚了吧
688,你干嘛哈哈哎呦
689,1！2！
690,靓
691,靓啊
692,烧坤
693,烧坤
694,烧坤
695,哩个piepie
696,开团喽
697,听懂了，他在骂我
698,我来水果摊的，能卖你生瓜蛋子？
699,哈哈，平台识别不了粤语词汇，哈哈哈
