title,view_num,danmu,upload_time,up_author,video_url
粤菜名酱之一的“煲仔酱”，适合烹饪任何鸡鸭鹅等肉类。大厨今天毫无保留分享给大家,5140,,2023/8/29,广东仔一鸡昌,www.bilibili.com/video/BV1yh4y127qc?from=search
【综艺】粤菜好师傅 第二季(2022)[11集] 好看又好玩的粤菜美食厨艺大赏,3734,,2022/10/18,熊猫大侠阿,www.bilibili.com/video/BV17P411N7XJ?from=search
【品城记】爱了！这家粤菜就是广东人熟悉的味道！姜油浸蛙真的特别！,17.8万,,2023/1/27,品城记本地版,www.bilibili.com/video/BV1q84y177Wr?from=search
粤菜南乳排骨的懒人做法，看着都香，配点小酒太解馋了,4.0万,,2020/6/16,我是马小坏,www.bilibili.com/video/BV1ii4y1x71e?from=search
整鸡去皮，酿入虾胶，这是粤菜巅峰之作江南百花鸡,44.0万,,2022/5/31,唐师傅炒菜爱放糖,www.bilibili.com/video/BV1a341137fw?from=search
见红不见血，这才是粤菜白切鸡的传统做法,5.4万,,2022/4/7,唐师傅炒菜爱放糖,www.bilibili.com/video/BV1Y94y1Z7jj?from=search
粤菜白灼大虾，马上过年了，澳门厨房佬教你这个简单的白灼汁做法，点大虾鲜甜又美味,40.7万,,2022/1/1,澳门厨房佬,www.bilibili.com/video/BV1Sr4y1m7zF?from=search
粤菜里面的蜜汁烧排骨，在家做其实也是很简单的，你们这次一定能学会,96.7万,,2021/11/5,澳门厨房佬,www.bilibili.com/video/BV13f4y1u7sQ?from=search
久违的经典怀旧粤菜大集合！传统粤式老味道叫人难忘，越秀这家不起眼街坊餐厅有两下子,8.7万,,2023/4/22,毛毛美食指南,www.bilibili.com/video/BV1rT411n7N2?from=search
粤菜的经典名菜,455,,2022/5/18,中言真美爱,www.bilibili.com/video/BV1eY4y1t78M?from=search
广东常见的一道经典粤菜‘豉油鸡’记住这个配方，学会就可以开店,19.8万,,2021/8/10,梁福来,www.bilibili.com/video/BV15o4y1D7wH?from=search
【品城记】东莞│又被我们挖到一家东莞的宝藏小店！几道独创的粤菜全都做得有滋有味！,14.8万,,2020/9/14,品城记本地版,www.bilibili.com/video/BV1DA411E7tB?from=search
经典粤菜菠萝咕咾肉，梦回1980，酸甜适中，酥脆可口！,13.1万,,2020/12/29,老饭骨品牌,www.bilibili.com/video/BV1Ha4y1p7vY?from=search
